254,The Cheesy Poofs,Areeba,false,true,Both,3,0,true,true,true,true,false,||,1,false,false,false,|Hatch on the close side rocket,Hatch on the far side rocket,Hatch on the far side rocket|,2 Hatches on rocket,false,false,24,||,8,idk about game pieces
Do rocket first then cargo ship
cycle time is for rocket
,Integral,Strong,pretty sure they want their own human player
succ climb
they aren't going to do defense
