2659,RoboWarriors,Areeba,false,true,Both,2,0,false,false,true,false,false,||,1,true,false,false,||,auto 2 hatch rocket or 1 hatch cargo ship and 1 hatch rocket
can also do hab 2,false,false,8,|Cargo ship cargo,Cargo ship hatch,Cargo ship hatch|,6,prefer cargo ship,
can either fill cargo ship or first two levels of rocket,Unnecessary,Strong,offense only
