696,Circuit Breakers,Areeba,false,true,Both,1,0,true,true,false,false,false,||,2,true,false,false,||,hatch on cargo ship, go to pick up ball,false,true,6,|Cargo ship cargo,Cargo ship hatch,Cargo ship hatch|,6,said 5 second cycle time cargo, 6 second for hatches

prefer cargo, can hatch on rocket level one, but no cargo,Unnecessary,Preferred,Offense mainly

3 sec climb
can climb both lvl 2 and lvl 3
